order_id,source_product_name,matched_product_id,matched_product_name,match_method,score
IN_26020941,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26020941,Clove 100,,,unmatched,0.5
IN_26020941,black pepper 200,919629bf-499c-49e7-a3c6-46a210f3d061,Black pepper 200 gram,token_similarity,1.0
IN_26020941,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26020985,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26020985,Clove 100,,,unmatched,0.5
IN_26020985,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26020985,black pepper 200,919629bf-499c-49e7-a3c6-46a210f3d061,Black pepper 200 gram,token_similarity,1.0
IN_26020950,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26020914,Clove 100,,,unmatched,0.5
IN_26020914,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26020914,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26020914,Turmeric 100gm,,,unmatched,0.5
IN_26020914,coffe powder 200,,,unmatched,0.3333
IN_26020910,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26020910,Clove 100,,,unmatched,0.5
IN_26020910,black pepper 200,919629bf-499c-49e7-a3c6-46a210f3d061,Black pepper 200 gram,token_similarity,1.0
IN_26020910,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26020935,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26020973,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26020973,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26020986,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26020922,Cardamom 500,594e93da-e4cf-4df1-96cd-4e14986afb4a,Kerala Cardamom 8mm - 500,token_similarity,1.0
IN_26020990,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26020990,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26020990,clove 50,864b63c6-ea70-4608-92a9-d9aa47bada5c,Clove 50 gram,token_similarity,1.0
IN_26021014,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021014,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021014,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021052,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021052,Cardamom 250g,,,unmatched,0.5
IN_26021077,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021077,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021016,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021081,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021058,Black Pepper 1kg,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_26021046,Cardamom 500,594e93da-e4cf-4df1-96cd-4e14986afb4a,Kerala Cardamom 8mm - 500,token_similarity,1.0
IN_26021046,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021046,Clove 100,,,unmatched,0.5
IN_26021096,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021096,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021135,Cardamom 500,594e93da-e4cf-4df1-96cd-4e14986afb4a,Kerala Cardamom 8mm - 500,token_similarity,1.0
IN_26021192,Cardamom 250g,,,unmatched,0.5
IN_26021113,White Pepper 100,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_26021181,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021181,black pepper 200,919629bf-499c-49e7-a3c6-46a210f3d061,Black pepper 200 gram,token_similarity,1.0
IN_26021181,White Pepper 100,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_26021146,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26021146,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
